major,level,gender,gpa,ethical,scenario1,scenario2,scenario3,course,university
2,3,1,71.84,2,0,0,0,0,2
2,3,1,78.9,2,0,0,0,0,2
1,3,0,77.83,2,0,0,0,2,2
1,1,1,75.75,2,0,0,0,0,2
2,2,1,78.9,2,0,0,0,0,2
0,0,1,,2,0,0,0,0,2
1,2,,76.78,2,0,0,0,0,2
1,1,0,70.91,2,0,0,0,0,2
2,2,1,82.27,2,0,0,0,0,2
2,1,1,84.68,3,1,0,0,1,2
,3,0,72.79,3,0,1,1,1,2
3,1,1,90,4,0,0,1,1,2
0,1,0,77.83,3,0,0,0,1,2
3,3,1,83.22,3,0,0,0,0,2
3,3,0,81.12,4,0,0,0,0,2
3,3,1,76.78,2,0,0,0,0,2
2,2,1,74.75,2,0,0,0,2,2
0,2,1,80,2,0,1,1,1,2
3,1,1,80,3,0,0,0,1,2
,2,0,80,4,1,1,1,1,2
0,1,1,72.79,3,0,1,1,,2
2,2,0,77.83,3,2,0,2,0,2
4,2,0,88.46,3,1,0,1,1,2
2,3,1,80,2,0,0,1,0,2
0,1,1,82.27,2,0,0,0,0,2
3,2,,78.9,2,1,0,0,0,2
2,1,1,,2,0,0,1,0,2
3,2,0,75.75,2,0,0,0,0,2
0,3,0,81.12,0,0,1,0,0,2
3,3,1,78.9,2,0,0,1,0,2
1,3,1,75.75,2,0,0,0,0,2
0,0,0,77.83,2,0,0,0,0,2
,2,0,76.78,2,0,0,0,0,2
1,0,1,,2,0,0,0,0,2
1,1,1,69.09,2,0,0,0,0,2
1,0,0,,3,0,0,0,0,2
0,2,1,81.12,2,0,0,0,0,2
1,2,0,73.76,2,0,0,0,0,2
2,1,1,76.78,2,0,0,0,0,2
0,1,0,80,2,0,0,0,0,2
1,1,0,85.94,2,0,0,0,0,2
0,1,1,78.9,2,0,0,0,0,2
0,3,0,81.12,2,0,0,0,0,2
2,3,1,87.25,2,0,0,0,0,2
0,1,1,80,2,0,0,0,0,2
0,2,0,78.9,2,0,0,0,0,2
1,0,0,,0,0,0,0,0,2
2,1,0,78.9,2,0,0,0,0,2
1,2,0,84.68,2,0,0,0,0,2
0,0,0,81.12,2,0,0,0,0,2
3,1,1,,3,1,0,0,1,2
3,1,1,72.79,3,0,1,1,0,2
1,0,0,,2,0,0,0,0,2
0,1,1,74.75,2,0,0,1,0,2
0,1,1,77.83,2,0,0,1,0,2
0,1,0,78.9,2,0,0,0,0,2
1,2,1,80,1,0,0,0,0,2
0,1,1,,2,0,0,1,0,2
1,2,0,78.9,2,1,1,0,0,2
0,3,1,81.12,2,0,0,0,0,2
1,0,0,74.75,2,0,0,0,0,2
0,3,1,82.27,1,0,0,0,0,2
0,3,1,78.9,2,0,0,0,0,2
2,3,0,81.12,2,0,0,0,0,2
2,1,0,78.9,,0,0,0,0,2
,1,0,80,2,0,0,2,1,2
0,0,1,,2,0,0,0,1,2
0,2,1,73.76,3,0,0,0,0,2
0,0,1,,0,0,0,0,1,2
3,2,0,76.57,3,0,1,0,1,2
2,3,1,78.9,2,0,0,0,1,2
0,0,0,84.81,4,1,0,1,1,2
0,0,0,,3,0,0,0,1,2
0,1,0,83.46,2,1,0,1,2,2
0,1,0,77.83,2,0,,0,0,2
0,2,0,78.9,2,0,0,0,0,2
4,2,1,78.9,2,0,0,0,0,2
0,1,0,81.12,1,0,0,,0,2
0,3,1,84.68,2,0,0,0,0,2
0,2,1,76.78,1,0,0,0,0,2
0,3,1,,2,0,0,0,1,2
2,2,1,83.95,3,0,0,1,1,2
1,3,0,76.88,3,1,0,0,0,2
1,0,0,,0,0,0,0,0,2
1,1,1,76.78,3,1,0,0,1,2
0,1,1,83.46,3,0,0,0,1,2
0,0,1,,4,0,1,0,1,2
0,0,0,,0,,,,,2
,3,0,87.11,1,1,0,0,,2
0,,,,0,1,0,0,0,2
,3,1,87.38,1,1,0,0,1,2
0,2,1,75.75,2,0,0,0,1,2
0,3,1,85.82,4,0,1,1,1,2
0,2,0,73.76,3,0,0,1,1,2
0,3,0,,3,1,1,0,1,2
0,3,1,78.9,1,0,0,0,0,2
2,3,1,,4,1,0,0,1,2
0,2,0,82.86,4,1,0,1,1,2
0,0,1,77.83,3,0,1,1,2,2
1,3,1,,3,0,0,0,0,2
0,3,0,,1,0,0,,1,2
0,3,0,,0,0,0,1,0,2
0,1,0,88.87,3,1,0,0,1,2
0,3,0,78.9,0,0,0,0,0,2
2,2,1,81.12,2,,,,1,2
2,3,0,82.27,4,1,0,1,1,2
0,3,1,87.91,3,0,0,1,1,2
0,2,0,,3,1,0,,1,2
0,2,1,82.27,3,0,0,1,1,2
0,3,0,71.84,0,0,0,0,0,2
0,2,0,68.21,1,0,0,0,0,2
1,1,0,,1,0,0,0,0,2
0,3,1,78.9,,0,0,0,0,2
1,1,0,73.76,2,0,0,,1,2
5,3,1,78.25,3,0,1,1,1,2
2,1,1,83.46,3,1,1,1,1,2
2,3,0,,3,0,1,,1,2
1,3,0,83.7,3,0,1,,1,2
0,3,1,77.83,2,0,0,0,1,2
1,2,0,74.75,0,0,0,0,0,2
2,3,0,66.47,1,0,1,1,0,2
0,3,1,75.75,1,0,0,0,0,2
0,3,0,70,2,0,0,1,0,2
2,3,0,78.9,1,1,0,0,0,2
1,3,1,82.27,3,1,0,0,0,2
2,2,0,64.79,1,0,0,0,0,2
0,3,1,81.12,3,0,0,0,0,2
2,3,1,78.9,1,1,0,0,0,2
0,2,0,84.68,1,0,0,0,0,2
,,1,73.76,3,0,0,0,0,2
,3,0,70.91,3,0,0,0,0,2
0,3,1,78.9,2,0,0,0,0,2
0,3,1,78.9,2,0,0,0,0,2
0,2,0,69.09,2,0,0,0,0,2
0,3,1,81.12,2,0,0,0,,2
2,3,1,82.27,2,0,0,0,0,2
2,3,1,84.68,2,0,0,0,0,2
,1,0,,1,0,0,0,,2
